                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1491,                 5.8824,                 1.5065,                      0,                      0,                      0,                      0,                 1.3315,                 4.4876,                 1.0977,             0.00013336,             0.00013336,             0.00013336
                      2,                 2.0995,                 4.3783,                 1.4312,                      0,                      0,                      0,                      0,                 1.2216,                 4.1888,                 1.0161,             0.00026936,             0.00026936,             0.00026936
                      3,                 2.1637,                 3.7526,                 1.2949,                      0,                      0,                      0,                      0,                 1.1703,                 4.1409,                 1.0082,             0.00039051,             0.00039051,             0.00039051
                      4,                 1.9802,                 3.1375,                 1.2375,                0.00066,                0.05263,                0.01414,                0.01129,                 1.1651,                 3.9606,                 0.9941,             0.00049681,             0.00049681,             0.00049681
                      5,                 1.8345,                 2.6279,                 1.2739,                0.00232,                0.27444,                0.18471,                0.10598,                   1.22,                 3.7862,                 1.0062,             0.00058825,             0.00058825,             0.00058825
                      6,                  1.903,                 2.5357,                 1.2391,                0.00625,                0.59023,                0.35265,                 0.1742,                 1.3077,                 3.5121,                  1.028,             0.00066484,             0.00066484,             0.00066484
                      7,                 1.8963,                 2.5964,                 1.3067,                0.00529,                0.58271,                 0.3197,                0.13585,                 1.2888,                 3.6183,                 1.0646,             0.00072658,             0.00072658,             0.00072658
                      8,                 1.9231,                 2.6039,                 1.2234,                0.00652,                0.92105,                0.51781,                0.31763,                 1.1682,                 3.4295,                 1.0089,             0.00077346,             0.00077346,             0.00077346
                      9,                 1.8863,                  2.482,                 1.2351,                0.00592,                0.82331,                0.42205,                 0.2123,                 1.5973,                 3.6194,                 1.1065,             0.00080549,             0.00080549,             0.00080549
                     10,                 1.7748,                 2.4415,                 1.2496,                0.00682,                0.87594,                0.54725,                  0.366,                 1.2252,                 3.2617,                 1.0495,             0.00082267,             0.00082267,             0.00082267
                     11,                 1.7143,                 2.9115,                 1.2373,                0.00739,                0.87594,                0.61173,                  0.381,                 1.4598,                 3.3602,                 1.1004,               0.000825,               0.000825,               0.000825
                     12,                  1.962,                 3.0456,                 1.2893,                      1,                0.13718,                0.67309,                0.45116,                 1.1097,                 2.7886,                 1.0371,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.6625,                 2.2399,                  1.338,                0.60076,                0.36108,                0.62111,                0.41771,                 1.2695,                 2.4966,                 1.0387,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.6181,                 2.4057,                  1.291,                0.54296,                0.38973,                0.67167,                0.41118,                  1.384,                 2.5558,                 1.0854,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.6924,                 2.3912,                 1.2833,                0.65029,                0.77068,                0.67408,                0.46561,                 1.1256,                 2.2425,                 1.0716,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.7074,                 2.2456,                 1.3947,                0.70078,                0.82331,                0.73326,                0.50008,                 1.1299,                 2.2389,                 1.0194,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.7377,                 2.1268,                 1.2917,                0.65081,                 0.7594,                0.71038,                 0.4988,                 1.0672,                 1.9229,                 0.9812,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.5125,                 2.0812,                 1.2015,                 0.5912,                0.71631,                0.70548,                0.50952,                 1.0065,                 1.7874,                0.96942,             0.00026422,             0.00026422,             0.00026422
                     19,                 1.7159,                 2.3684,                 1.1758,                0.57608,                0.73044,                0.70325,                0.51055,                0.98655,                 1.7104,                0.98002,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.5209,                 2.0627,                 1.2554,                0.62532,                0.85714,                0.73695,                0.53768,                0.96679,                 1.5741,                0.99326,             9.9187e-05,             9.9187e-05,             9.9187e-05
